EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
143419030,AUS / Ipsw (AUS) 4th May,R6 431m Heat,04-05-2018 08:33,17635880,7. Moose Man,0,85,1,69.4184930862571724202803122942338444173,1,1001,1,1001,212.62,0,0
143419030,AUS / Ipsw (AUS) 4th May,R6 431m Heat,04-05-2018 08:33,17684587,1. Smart Werina,1,3.9156275902152995,1,3.14515135685210312075983717774762550882,1,1001,1,1001,2948,0,0
143419021,AUS / Ipsw (AUS) 4th May,R3 431m Heat,04-05-2018 07:24,17255688,1. Dodgy Ethan,0,3.0293037475278832,1,2.84744042137134927143127483757017599193,1,1001,1,1001,3170.6,0,0
143419028,AUS / Ipsw (AUS) 4th May,R5 431m Final,04-05-2018 08:09,16822750,3. Hay Hopey,0,2.9634462826728116,1,2.75711314342828585707146426786606696652,1,1001,1,1001,4002,0,0
143419028,AUS / Ipsw (AUS) 4th May,R5 431m Final,04-05-2018 08:09,15327727,6. Barneys Bounty,0,60,1,39.5009008524484362814962217979401403716,1,1001,1,1001,743.74,0,0
143419028,AUS / Ipsw (AUS) 4th May,R5 431m Final,04-05-2018 08:09,16112287,2. Brother Trevor,1,22,1,18.88049896271078248843023565083249109,1,1001,1,1001,375.98,0,0
143420699,AUS / Trar (AUS) 4th May,R2 315m Heat,04-05-2018 10:35,18575300,5. Dewana Sprite,0,2.2057830811936037,1,1.93024870482789308076152941550392524553,1,1001,1,1001,7551.12,0,0
143435806,AUS / Bend (AUS) 4th May,R4 500m Gr6/7,04-05-2018 07:09,18574222,8. Puppet You Rippa,0,4.2149690915487,1,3.77070975329836575580237311606643207406,1,1001,1,1001,2108.62,0,0
143435822,AUS / Bend (AUS) 4th May,R12 425m Gr5,04-05-2018 10:00,11186646,3. Iceni Outlaw,0,41.53879879143089,1,23.7364391383337658967038671165325720218,1,1001,1,1001,154.12,0,0
143435822,AUS / Bend (AUS) 4th May,R12 425m Gr5,04-05-2018 10:00,14048500,1. Iceni Ryder,0,9.690750711136502,1,8.32725061463618768635246116022388450071,1,1001,1,1001,764.68,0,0
